ID,Ref,year,PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Nickname(n),-HOMO_n(eV),-LUMO_n(eV),Eg_n(eV),n(SMILES),M (g/mol),Nickname(p),-HOMO_p(eV),-LUMO_p(eV),Eg_p(eV),p(SMILES),Mw (kg/mol),Mn(kg/mol),PDI,p/n ratio (p),p/n ratio (n),Solvent,Additive,TA (oC),thick (nm),Unnamed: 28,Journal,DOI,Abstract
156,63,2018,11.3,11.3,20.9,0.654,0.82,IXIC,5.13,3.78,1.35,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(SC4=C5C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C4SC9=C8SC%10=C9C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C%10SC%14=C%13SC(/C=C%15C(C(C=CC=C%16)=C%16C\%15=C(C#N)\C#N)=O)=C%14)=C5S3,1490.06,PBDB-T,5.26,3.63,1.63,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117.0,58.5,2.0,1.0,1.0,CF,,100,,,Adv. Energy Mater.,10.1002/aenm.201801203,"The field of nonfullerene organic solar cells (OSCs) has seen an impressive progress, largely due to advances in high‐performance small molecule acceptors (SMAs). As a large portion of the solar energy is located in the near‐infrared region, it is important to develop ultralow‐bandgap SMAs that have extended absorption in the spectral range of 800–1000 nm to maximize light absorption and efficiencies. In this work, three low‐bandgap SMAs, namely, IXIC, IXIC‐2Cl, and IXIC‐4Cl, are designed and synthesized with same fused terthieno[3,2‐b]thiophene donor unit and different end groups (EGs). The three SMAs all have low optical bandgap (Eg) of 1.35, 1.30, and 1.25 eV, respectively. The chlorination on EGs can lower the energy level and broaden absorption range of the SMAs. As a result, the Voc of the devices is reduced but the Jsc is significantly increased. In addition, the addition of chlorine atoms can enhance π–π stacking and crystallinity of the SMAs, which result in high fill factors. Overall, the optimum EGs are monochlorine‐substituted IC and OSCs based on PBDB‐T:IXIC‐2Cl that can achieve remarkable power conversion efficiencies (PCEs) of 12.2%, which is one of the highest PCEs for nonfullerene organic solar cells based on low‐bandgap SMAs."
157,63,2018,12.2,12.2,23.6,0.709,0.73,IXIC-2Cl,5.2,3.9,1.3,O=C(C(C=CC(Cl)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(SC4=C5C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C4SC9=C8SC%10=C9C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C%10SC%14=C%13SC(/C=C%15C(C(C=CC(Cl)=C%16)=C%16C\%15=C(C#N)\C#N)=O)=C%14)=C5S3,1558.94,PBDB-T,5.26,3.63,1.63,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117.0,58.5,2.0,1.0,1.0,CF,,100,,,Adv. Energy Mater.,10.1002/aenm.201801203,"The field of nonfullerene organic solar cells (OSCs) has seen an impressive progress, largely due to advances in high‐performance small molecule acceptors (SMAs). As a large portion of the solar energy is located in the near‐infrared region, it is important to develop ultralow‐bandgap SMAs that have extended absorption in the spectral range of 800–1000 nm to maximize light absorption and efficiencies. In this work, three low‐bandgap SMAs, namely, IXIC, IXIC‐2Cl, and IXIC‐4Cl, are designed and synthesized with same fused terthieno[3,2‐b]thiophene donor unit and different end groups (EGs). The three SMAs all have low optical bandgap (Eg) of 1.35, 1.30, and 1.25 eV, respectively. The chlorination on EGs can lower the energy level and broaden absorption range of the SMAs. As a result, the Voc of the devices is reduced but the Jsc is significantly increased. In addition, the addition of chlorine atoms can enhance π–π stacking and crystallinity of the SMAs, which result in high fill factors. Overall, the optimum EGs are monochlorine‐substituted IC and OSCs based on PBDB‐T:IXIC‐2Cl that can achieve remarkable power conversion efficiencies (PCEs) of 12.2%, which is one of the highest PCEs for nonfullerene organic solar cells based on low‐bandgap SMAs."
158,63,2018,11.2,11.2,22.9,0.712,0.69,IXIC-4Cl,5.2,3.95,1.25,O=C(C(C=C(Cl)C(Cl)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(SC4=C5C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C4SC9=C8SC%10=C9C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C%10SC%14=C%13SC(/C=C%15C(C(C=C(Cl)C(Cl)=C%16)=C%16C\%15=C(C#N)\C#N)=O)=C%14)=C5S3,1627.83,PBDB-T,5.26,3.63,1.63,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117.0,58.5,2.0,1.0,1.0,CF,,100,,,Adv. Energy Mater.,10.1002/aenm.201801203,"The field of nonfullerene organic solar cells (OSCs) has seen an impressive progress, largely due to advances in high‐performance small molecule acceptors (SMAs). As a large portion of the solar energy is located in the near‐infrared region, it is important to develop ultralow‐bandgap SMAs that have extended absorption in the spectral range of 800–1000 nm to maximize light absorption and efficiencies. In this work, three low‐bandgap SMAs, namely, IXIC, IXIC‐2Cl, and IXIC‐4Cl, are designed and synthesized with same fused terthieno[3,2‐b]thiophene donor unit and different end groups (EGs). The three SMAs all have low optical bandgap (Eg) of 1.35, 1.30, and 1.25 eV, respectively. The chlorination on EGs can lower the energy level and broaden absorption range of the SMAs. As a result, the Voc of the devices is reduced but the Jsc is significantly increased. In addition, the addition of chlorine atoms can enhance π–π stacking and crystallinity of the SMAs, which result in high fill factors. Overall, the optimum EGs are monochlorine‐substituted IC and OSCs based on PBDB‐T:IXIC‐2Cl that can achieve remarkable power conversion efficiencies (PCEs) of 12.2%, which is one of the highest PCEs for nonfullerene organic solar cells based on low‐bandgap SMAs."
159,64,2018,8.7,8.5,16.2,0.7,0.748,ITIC-2F,5.55,3.99,1.56,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(F)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(F)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1463.94,PTB7-Th,5.2,3.61,1.59,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124.0,72.9,1.7,1.0,1.5,CB,DIO,,132.0,,Adv. Energy Mater.,10.1002/aenm.201801209,"A series of narrow bandgap electron acceptors is designed and synthesized for efficient near‐infrared (NIR) organic solar cells. Extending π‐conjugation of donor frameworks leads to an intense intramolecular charge transfer, resulting in broad absorption profiles with band edge reaching 950 nm. When blended with an electron donor polymer PTB7‐Th, IOTIC‐2F exhibits efficient charge transfer even with a small energetic offset, so as to achieve a large photogenerated current over 22 mA cm−2 with small energy losses (≈0.49 eV) in solar cell devices. With an intense NIR absorbance, PTB7‐Th:IOTIC‐2F‐based cells achieve a power conversion efficiency of 12.1% with good visible transparency (52% transmittance from 370 to 740 nm). Analysis of film morphology reveals that processing with solvent additives enhances crystalline features of acceptor components, while keeping an appropriate level of donor:acceptor intermixing in the binary blends. The incorporation of the third component, ITIC‐2F, into the PTB7‐Th:IOTIC‐2F blends increases the device efficiency up to 12.9%. The improvement is assigned to the cascaded energy‐level structure and desirable nanoscale phase separation of the ternary blends, which is beneficial to the photocurrent generation. This work provides an efficient molecular design strategy to optimize nonfullerene acceptor properties for efficient NIR organic photovoltaics."
160,64,2018,12.1,11.6,21.9,0.65,0.817,IOTIC-2F,5.34,4.03,1.31,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCCC)C=C3)C4=CC5=C(C(C6=C5SC(C7=C(OCC(CC)CCCC)C=C(/C=C8C(C(C=CC(F)=C9)=C9C\8=C(C#N)\C#N)=O)S7)=C6)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C=C(C%13=C(OCC(CC)CCCC)C=C(/C=C%14C(C(C=CC(F)=C%15)=C%15C\%14=C(C#N)/C#N)=O)S%13)S%12,1786.47,PTB7-Th,5.2,3.61,1.59,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124.0,72.9,1.7,1.0,1.5,CB,DIO,,90.0,,Adv. Energy Mater.,10.1002/aenm.201801209,"A series of narrow bandgap electron acceptors is designed and synthesized for efficient near‐infrared (NIR) organic solar cells. Extending π‐conjugation of donor frameworks leads to an intense intramolecular charge transfer, resulting in broad absorption profiles with band edge reaching 950 nm. When blended with an electron donor polymer PTB7‐Th, IOTIC‐2F exhibits efficient charge transfer even with a small energetic offset, so as to achieve a large photogenerated current over 22 mA cm−2 with small energy losses (≈0.49 eV) in solar cell devices. With an intense NIR absorbance, PTB7‐Th:IOTIC‐2F‐based cells achieve a power conversion efficiency of 12.1% with good visible transparency (52% transmittance from 370 to 740 nm). Analysis of film morphology reveals that processing with solvent additives enhances crystalline features of acceptor components, while keeping an appropriate level of donor:acceptor intermixing in the binary blends. The incorporation of the third component, ITIC‐2F, into the PTB7‐Th:IOTIC‐2F blends increases the device efficiency up to 12.9%. The improvement is assigned to the cascaded energy‐level structure and desirable nanoscale phase separation of the ternary blends, which is beneficial to the photocurrent generation. This work provides an efficient molecular design strategy to optimize nonfullerene acceptor properties for efficient NIR organic photovoltaics."
161,64,2018,3.7,3.3,7.0,0.61,0.785,ITOTIC-2F,5.22,3.9,1.32,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(C8=C(OCC(CC)CCCC)C=C(C=C9C(C(C=CC(F)=C%10)=C%10/C9=C(C#N)/C#N)=O)S8)=C7)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C4C%13=C2C(SC(C%14=C(OCC(CC)CCCC)C=C(/C=C%15C(C(C=CC(F)=C%16)=C%16C\%15=C(C#N)/C#N)=O)S%14)=C%17)=C%17S%13,1898.63,PTB7-Th,5.2,3.61,1.59,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124.0,72.9,1.7,1.0,1.5,CB,CN,,,,Adv. Energy Mater.,10.1002/aenm.201801209,"A series of narrow bandgap electron acceptors is designed and synthesized for efficient near‐infrared (NIR) organic solar cells. Extending π‐conjugation of donor frameworks leads to an intense intramolecular charge transfer, resulting in broad absorption profiles with band edge reaching 950 nm. When blended with an electron donor polymer PTB7‐Th, IOTIC‐2F exhibits efficient charge transfer even with a small energetic offset, so as to achieve a large photogenerated current over 22 mA cm−2 with small energy losses (≈0.49 eV) in solar cell devices. With an intense NIR absorbance, PTB7‐Th:IOTIC‐2F‐based cells achieve a power conversion efficiency of 12.1% with good visible transparency (52% transmittance from 370 to 740 nm). Analysis of film morphology reveals that processing with solvent additives enhances crystalline features of acceptor components, while keeping an appropriate level of donor:acceptor intermixing in the binary blends. The incorporation of the third component, ITIC‐2F, into the PTB7‐Th:IOTIC‐2F blends increases the device efficiency up to 12.9%. The improvement is assigned to the cascaded energy‐level structure and desirable nanoscale phase separation of the ternary blends, which is beneficial to the photocurrent generation. This work provides an efficient molecular design strategy to optimize nonfullerene acceptor properties for efficient NIR organic photovoltaics."
162,65,2018,12.62,12.62,20.12,0.727,0.864,IDTO-T-4F,5.49,3.88,1.61,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=CC=C(/C=C5C(C(C=C(F)C(F)=C6)=C6C\5=C(C#N)\C#N)=O)S4)=C2OCCCCCCCC)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=CC=C(/C=C%12/C(C(C=C%13F)=C(C%12=O)C=C%13F)=C(C#N)/C#N)S%11)=C9OCCCCCCCC)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,1808.42,PBDB-T,5.33,3.53,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117.0,58.5,2.0,1.0,1.2,CB/CF,DIO,,110.0,,Adv. Energy Mater.,10.1002/aenm.201801618,"Three low‐bandgap nonfullerene acceptors (NFAs) IDTO‐T‐4F, IDTO‐Se‐4F, and IDTO‐TT‐4F with extended conjugation length are designed and synthesized. Various π‐spacers, thiophene, selenophene, and thieno[3,2‐b]thiophene are incorporated to extend the conjugated length and enhance the backbone planarity via noncovalent O···S or O···Se interactions. These NFAs exhibit strong light absorption in the range of 600–900 nm with narrow bandgaps between 1.38 and 1.45 eV. By blending with a wide‐bandgap donor material PBDB‐T, organic solar cells (OSCs) based on these NFAs all yield high efficiency over 10% with low energy losses ranging from 0.52 to 0.59 eV. Importantly, as a result of relatively high lowest unoccupied molecular orbital level, large hole and electron mobility in blend film, and low charge carrier recombination loss, optimized devices based on IDTO‐T‐4F exhibit a large open‐circuit voltage of 0.864 V, a high short‐circuit current density of 20.12 mA cm−2, and a notable fill factor of 72.7%, leading to an impressive efficiency of 12.62%, which represents the best performance for NFA OSCs using noncovalent interactions in acceptor molecule design. The results indicate that optimizing the conjugation length and backbone planarity via intramolecular noncovalent O···S or O···Se interactions is a useful strategy for NFA materials invention toward high‐performance solar cells."
163,65,2018,10.67,10.67,18.55,0.692,0.831,IDTO-Se-4F,5.48,3.9,1.58,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=CC=C(/C=C5C(C(C=C(F)C(F)=C6)=C6C\5=C(C#N)\C#N)=O)[Se]4)=C2OCCCCCCCC)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=CC=C(/C=C%12/C(C(C=C%13F)=C(C%12=O)C=C%13F)=C(C#N)/C#N)[Se]%11)=C9OCCCCCCCC)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,1902.22,PBDB-T,5.33,3.53,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117.0,58.5,2.0,1.0,1.1,CB/CF,DIO,,110.0,,Adv. Energy Mater.,10.1002/aenm.201801618,"Three low‐bandgap nonfullerene acceptors (NFAs) IDTO‐T‐4F, IDTO‐Se‐4F, and IDTO‐TT‐4F with extended conjugation length are designed and synthesized. Various π‐spacers, thiophene, selenophene, and thieno[3,2‐b]thiophene are incorporated to extend the conjugated length and enhance the backbone planarity via noncovalent O···S or O···Se interactions. These NFAs exhibit strong light absorption in the range of 600–900 nm with narrow bandgaps between 1.38 and 1.45 eV. By blending with a wide‐bandgap donor material PBDB‐T, organic solar cells (OSCs) based on these NFAs all yield high efficiency over 10% with low energy losses ranging from 0.52 to 0.59 eV. Importantly, as a result of relatively high lowest unoccupied molecular orbital level, large hole and electron mobility in blend film, and low charge carrier recombination loss, optimized devices based on IDTO‐T‐4F exhibit a large open‐circuit voltage of 0.864 V, a high short‐circuit current density of 20.12 mA cm−2, and a notable fill factor of 72.7%, leading to an impressive efficiency of 12.62%, which represents the best performance for NFA OSCs using noncovalent interactions in acceptor molecule design. The results indicate that optimizing the conjugation length and backbone planarity via intramolecular noncovalent O···S or O···Se interactions is a useful strategy for NFA materials invention toward high‐performance solar cells."
164,65,2018,10.21,10.21,17.21,0.694,0.856,IDTO-TT-4F,5.39,3.89,1.5,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=CC5=C(C=C(/C=C6C(C(C=C(F)C(F)=C7)=C7C\6=C(C#N)\C#N)=O)S5)S4)=C2OCCCCCCCC)(C8=CC=C(CCCCCC)C=C8)C9=C3C=C(C(C%10=C%11SC(C%12=CC%13=C(C=C(/C=C%14/C(C(C=C%15F)=C(C%14=O)C=C%15F)=C(C#N)/C#N)S%13)S%12)=C%10OCCCCCCCC)(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)C%11=C9,1920.59,PBDB-T,5.33,2.92,2.41,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117.0,58.5,2.0,1.0,1.1,CB/CF,DIO,100,110.0,,Adv. Energy Mater.,10.1002/aenm.201801618,"Three low‐bandgap nonfullerene acceptors (NFAs) IDTO‐T‐4F, IDTO‐Se‐4F, and IDTO‐TT‐4F with extended conjugation length are designed and synthesized. Various π‐spacers, thiophene, selenophene, and thieno[3,2‐b]thiophene are incorporated to extend the conjugated length and enhance the backbone planarity via noncovalent O···S or O···Se interactions. These NFAs exhibit strong light absorption in the range of 600–900 nm with narrow bandgaps between 1.38 and 1.45 eV. By blending with a wide‐bandgap donor material PBDB‐T, organic solar cells (OSCs) based on these NFAs all yield high efficiency over 10% with low energy losses ranging from 0.52 to 0.59 eV. Importantly, as a result of relatively high lowest unoccupied molecular orbital level, large hole and electron mobility in blend film, and low charge carrier recombination loss, optimized devices based on IDTO‐T‐4F exhibit a large open‐circuit voltage of 0.864 V, a high short‐circuit current density of 20.12 mA cm−2, and a notable fill factor of 72.7%, leading to an impressive efficiency of 12.62%, which represents the best performance for NFA OSCs using noncovalent interactions in acceptor molecule design. The results indicate that optimizing the conjugation length and backbone planarity via intramolecular noncovalent O···S or O···Se interactions is a useful strategy for NFA materials invention toward high‐performance solar cells."
165,66,2015,5.0,5.0,10.51,0.58,0.78,H-Di-PDI,5.87,3.76,2.11,O=C(N(N1C(C(C=C2)=C3C4=C2C5=CC=C(C(N(C(CCCCC)CCCCC)C6=O)=O)C(C6=CC7)=C5C7=C4CC=C3C1=O)=O)C8=O)C9=CCC(C%10=C%11C=CC8=C%109)=C%12CC=C%13C%14=C%12C%11=CC=C%14C(N(C(CCCCC)CCCCC)C%13=O)=O,1091.32,PTB7,5.14,3.51,1.63,CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1,97.5,46.4,2.1,1.0,1.0,DCB,DIO/CN,,90.0,,Adv. Funct. Mater.,10.1002/adfm.201501971,"In this study, we investigate the influence of molecular geometry of the donor polymers and the perylene diimide dimers (di‐PDIs) on the bulk heterojunction (BHJ) morphology in the nonfullerene polymer solar cells (PSCs). The results reveal that the pseudo 2D conjugated poly[4,8‐bis(5‐(2‐ethylhexyl)thiophen‐2‐yl)benzo[1,2‐b;4,5‐b′]dithiophene‐2,6‐diyl‐alt‐(4‐(2‐ethylhexyl)‐3‐fluorothieno[3,4‐b]thiophene‐)‐2‐carboxylate‐2‐6‐diyl)] (PTB7‐Th) has better miscibility with both bay‐linked di‐PDI (B‐di‐PDI) and hydrazine‐linked di‐PDI (H‐di‐PDI) compared to its 1D analog, poly[[4,8‐bis[(2‐ethylhexyl)oxy]benzo[1,2‐b:4,5‐b′]dithiophene‐2,6‐diyl][3‐fluoro‐2‐[(2‐ethylhexyl)carbonyl]thieno[3,4‐b]thiophenediyl]] (PTB7), to facilitate more efficient exciton dissociation in the BHJ films. However, the face‐on oriented π–π stacking of PTB7‐Th is severely disrupted by the B‐di‐PDI due to its more flexible structure. On the contrary, the face‐on oriented π–π stacking is only slightly disrupted by the H‐di‐PDI, which has a more rigid structure to provide suitable percolation pathways for charge transport. As a result, a very high power conversion efficiency (PCE) of 6.41% is achieved in the PTB7‐Th:H‐di‐PDI derived device. This study shows that it is critical to pair suitable polymer donor and di‐PDI‐based acceptor to obtain proper BHJ morphology for achieving high PCE in the nonfullerene PSCs."
166,66,2015,1.69,1.69,3.66,0.51,0.79,B-di-PDI,5.81,3.75,2.06,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CCC(C3=C4C=CC1=C32)=C5C(C(C=C6C(N(C(CCCCC)CCCCC)C7=O)=O)=C8C9=C6C7=CCC9=C%10C%11=C8C=CC%12=C%11C(C(N(C(CCCCC)CCCCC)C%12=O)=O)=CC%10)C=C%13C%14=C5C4=CC=C%14C(N(C(CCCCC)CCCCC)C%13=O)=O,1399.91,PTB7,5.14,3.51,1.63,CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1,97.5,46.4,2.1,1.0,1.0,DCB,DIO/CN,,90.0,,Adv. Funct. Mater.,10.1002/adfm.201501971,"In this study, we investigate the influence of molecular geometry of the donor polymers and the perylene diimide dimers (di‐PDIs) on the bulk heterojunction (BHJ) morphology in the nonfullerene polymer solar cells (PSCs). The results reveal that the pseudo 2D conjugated poly[4,8‐bis(5‐(2‐ethylhexyl)thiophen‐2‐yl)benzo[1,2‐b;4,5‐b′]dithiophene‐2,6‐diyl‐alt‐(4‐(2‐ethylhexyl)‐3‐fluorothieno[3,4‐b]thiophene‐)‐2‐carboxylate‐2‐6‐diyl)] (PTB7‐Th) has better miscibility with both bay‐linked di‐PDI (B‐di‐PDI) and hydrazine‐linked di‐PDI (H‐di‐PDI) compared to its 1D analog, poly[[4,8‐bis[(2‐ethylhexyl)oxy]benzo[1,2‐b:4,5‐b′]dithiophene‐2,6‐diyl][3‐fluoro‐2‐[(2‐ethylhexyl)carbonyl]thieno[3,4‐b]thiophenediyl]] (PTB7), to facilitate more efficient exciton dissociation in the BHJ films. However, the face‐on oriented π–π stacking of PTB7‐Th is severely disrupted by the B‐di‐PDI due to its more flexible structure. On the contrary, the face‐on oriented π–π stacking is only slightly disrupted by the H‐di‐PDI, which has a more rigid structure to provide suitable percolation pathways for charge transport. As a result, a very high power conversion efficiency (PCE) of 6.41% is achieved in the PTB7‐Th:H‐di‐PDI derived device. This study shows that it is critical to pair suitable polymer donor and di‐PDI‐based acceptor to obtain proper BHJ morphology for achieving high PCE in the nonfullerene PSCs."
167,66,2015,5.56,5.56,12.86,0.54,0.79,H-Di-PDI,5.87,3.76,2.11,O=C(N(N1C(C(C=C2)=C3C4=C2C5=CC=C(C(N(C(CCCCC)CCCCC)C6=O)=O)C(C6=CC7)=C5C7=C4CC=C3C1=O)=O)C8=O)C9=CCC(C%10=C%11C=CC8=C%109)=C%12CC=C%13C%14=C%12C%11=CC=C%14C(N(C(CCCCC)CCCCC)C%13=O)=O,1091.32,PTB7-Th,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124.0,72.9,1.7,1.0,1.0,DCB,DIO/CN,,90.0,,Adv. Funct. Mater.,10.1002/adfm.201501971,"In this study, we investigate the influence of molecular geometry of the donor polymers and the perylene diimide dimers (di‐PDIs) on the bulk heterojunction (BHJ) morphology in the nonfullerene polymer solar cells (PSCs). The results reveal that the pseudo 2D conjugated poly[4,8‐bis(5‐(2‐ethylhexyl)thiophen‐2‐yl)benzo[1,2‐b;4,5‐b′]dithiophene‐2,6‐diyl‐alt‐(4‐(2‐ethylhexyl)‐3‐fluorothieno[3,4‐b]thiophene‐)‐2‐carboxylate‐2‐6‐diyl)] (PTB7‐Th) has better miscibility with both bay‐linked di‐PDI (B‐di‐PDI) and hydrazine‐linked di‐PDI (H‐di‐PDI) compared to its 1D analog, poly[[4,8‐bis[(2‐ethylhexyl)oxy]benzo[1,2‐b:4,5‐b′]dithiophene‐2,6‐diyl][3‐fluoro‐2‐[(2‐ethylhexyl)carbonyl]thieno[3,4‐b]thiophenediyl]] (PTB7), to facilitate more efficient exciton dissociation in the BHJ films. However, the face‐on oriented π–π stacking of PTB7‐Th is severely disrupted by the B‐di‐PDI due to its more flexible structure. On the contrary, the face‐on oriented π–π stacking is only slightly disrupted by the H‐di‐PDI, which has a more rigid structure to provide suitable percolation pathways for charge transport. As a result, a very high power conversion efficiency (PCE) of 6.41% is achieved in the PTB7‐Th:H‐di‐PDI derived device. This study shows that it is critical to pair suitable polymer donor and di‐PDI‐based acceptor to obtain proper BHJ morphology for achieving high PCE in the nonfullerene PSCs."
