,Unnamed: 0,doi,publication,publisher,title,year,Abstract
12,12,10.1016/j.eurpolymj.2021.110496,,,Uniform fiber-like polymeric micelles of controlled length containing a photo-cleavable core: Versatile templates toward functional nanotubes,2021,"Abstract Inorganic nanotubes with unique and well-defined porous structures show promising applications in diverse functional materials. However, it remains a challenge to fabricate inorganic nanotubes with precise length controllability. Herein, we report the synthesis of block copolymers consisting of a crystalline π-conjugated oligo(p-phenylenevinylene) (OPV) block, a hydrophilic poly(2-vinylpyridine) (P2VP) segment and a photo-cleavable o-nitrobenzyl (ONB) junction. By taking advantage of crystallinity of OPV segment, self-seeding approach of living crystallization-driven self-assembly was employed to generate uniform fiber-like micelles composed of an OPV core and a P2VP corona. The P2VP corona was then used to host the formation of silica, titania and Pt(0)-embedded silica shell. After the photo-cleavable OBN junctions were broken under light irradiation, the OPV core can be removed in a good solvent for OPV segments to give silica, titania and Pt(0)-embedded silica nanotubes. Significantly, the Pt(0)-embedded silica nanotubes exhibited much higher catalytic activity toward the reduction of p-nitroaniline than Pt(0)-embedded silica nanofibers with the same Pt content, probably owing to the presence of porous channel for nanotubes. This work opens a new avenue to fabricate inorganic nanotubes of controlled length."
14,14,10.1063/5.0050574,,,CTRAMER: An open-source software package for correlating interfacial charge transfer rate constants with donor/acceptor geometries in organic photovoltaic materials,2021,"In this paper, we present CTRAMER (Charge-Transfer RAtes from Molecular dynamics, Electronic structure, and Rate theory)-an open-source software package for calculating interfacial charge-transfer (CT) rate constants in organic photovoltaic (OPV) materials based on ab initio calculations and molecular dynamics simulations. The software is based on identifying representative donor/acceptor geometries within interfacial structures obtained from molecular dynamics simulation of donor/acceptor blends and calculating the corresponding Fermi's golden rule CT rate constants within the framework of the linearized-semiclassical approximation. While the methods used are well established, the integration of these state-of-the-art tools originating from different disciplines to study photoinduced CT processes with explicit treatment of the environment, in our opinion, makes this package unique and innovative. The software also provides tools for investigating other observables of interest. After outlining the features and implementation details, the usage and performance of the software are demonstrated with results from an example OPV system."
15,15,10.3390/en14123412,,,State-of-the-art review on the energy performance of semi-transparent building integrated photovoltaic across a range of different climatic and environmental conditions,2021,"Semi-transparent Building Integrated Photovoltaics provide a fresh approach to the renewable energy sector, combining the potential of energy generation with aesthetically pleasing, multi-functional building components. Employing a range of technologies, they can be integrated into the envelope of the building in different ways, for instance, as a key element of the roofing or facade in urban areas. Energy performance, measured by their ability to produce electrical power, at the same time as delivering thermal and optical efficiencies, is not only impacted by the system properties, but also by a variety of climatic and environmental factors. The analytical framework laid out in this paper can be employed to critically analyse the most efficient solution for a specific location; however, it is not always possible to mitigate energy losses, using commercially available materials. For this reason, a brief overview of new concept devices is provided, outlining the way in which they mitigate energy losses and providing innovative solutions for a sustainable energy future."
16,16,10.1016/j.eclinm.2021.100886,,,National immunisation campaigns with oral polio vaccine may reduce all-cause mortality: Analysis of 2004–2019 demographic surveillance data in rural Bangladesh,2021,"Background West African studies have suggested that national immunisation campaigns with oral polio vaccine (C-OPV) may non-specifically reduce all-cause child mortality rate by 15–25%. We investigated whether C-OPVs had similar non-specific effects in rural Bangladesh from 2004 to 2019. Methods Chakaria, is a health and demographic surveillance system (HDSS) in Southern Bangladesh. From 2004–2011 the HDSS covered a random sample of households; from 2012 to 2019 it covered a random sample of villages. Using Cox proportional hazards models, we calculated hazard ratios (HR) comparing mortality for children under 3 years of age after C-OPV versus before C-OPV to assess the effect of receiving a C-OPV. We allowed for different baseline hazard function in the two periods (2004–2011, 2012–2019), with separate models for each period. Findings There were 768 deaths (2.1%) amongst 36,176 children. The HR after C-OPV was 0.69 (95% confidence interval: 0.52–0.90). National campaigns providing vitamin A or measles vaccine did not have similar effects. Each additional dose of C-OPV was associated with a reduction in the mortality rate by 6% (−2 to 13%). The number needed to treat with C-OPV to save one life between 0 and 35 months of age was 88 (81–96). Interpretation This is the fourth study to show that C-OPV has beneficial non-specific effects on child survival. All studies have shown a beneficial effect of C-OPV on child health. Stopping OPV as planned after polio eradication without any mitigation plan could have detrimental effects for overall child health in low-income countries. Funding The Chakaria HDSS was funded by international sponsors. No sponsor had any influence on the preparation of the article."
17,17,10.1002/smll.202101133,,,Simultaneous Improvement of Efficiency and Stability of Organic Photovoltaic Cells by using a Cross-Linkable Fullerene Derivative,2021,"Improving power conversion efficiencies (PCEs) and stability are two main tasks for organic photovoltaic (OPV) cells. In the past few years, although the PCE of the OPV cells has been considerably improved, the research on device stability is limited. Herein, a cross-linkable material, cross-linked [6,6]-phenyl-C61-butyric styryl dendron ester (c-PCBSD), is applied as an interfacial modification layer on the surface of zinc oxide and as the third component into the PBDB-TF:Y6-based OPV cells to enhance photovoltaic performance and long-term stability. The PCE of the OPV cells that underwent the two-step modification increased from 15.1 to 16.1%. In particular, such OPV cells exhibited much better stability under both thermal and air conditions because of the decreased number of interfacial defects and stable interfacial and active layer morphologies. The results demonstrated that the introduction of a cross-linkable fullerene derivative into the interfacial and active layers is a feasible method to improve the PCE and stability of OPV cells."
18,18,10.1002/aenm.202100342,,,Progress in Upscaling Organic Photovoltaic Devices,2021,"Organic photovoltaic (OPV) cells have recently undergone a rapid increase in power conversion efficiency (PCE) under AM1.5G conditions, as certified by the National Renewable Energy Laboratory (NREL), which have jumped from 11.5% in October 2017 to 18.2% in December 2020. However, the NREL certified PCE of large area OPV modules is still lagging far behind (11.7% in July 2020). Additionally, there has been a rapidly growing interest in the use of OPVs for dim light indoor applications, with reported PCE of some large area (≥1 cm2) devices, under 1000 lux, well above 20%. The transition of OPV from the lab to the market requires the development of effective manufacturing processes that can scale‐up laboratory‐scale devices into large area devices, without sacrificing performance and simultaneously minimizing associated manufacturing costs. This review article focuses on four important challenges that OPV technology has to face to achieve a reliable lab‐to‐fab transfer, namely: i) The upscaling of indium‐tin‐oxide (ITO)‐based single cells and the interconnection of single cells into large area modules; ii) the development of alternatives to vacuum processing; iii) the development of alternatives to ITO‐based substrates; and iv) strategies for improving the lifetime of large area OPV devices."
19,19,10.1016/j.nanoen.2021.105924,,,Photophysical pathways in efficient bilayer organic solar cells: The importance of interlayer energy transfer,2021,"Abstract The development of organic photovoltaic (OPV) cells has long been guided by the idea that excitons – bound electron-hole pairs created by light absorption – diffuse only 5–10 nm. True for many materials, this constraint led to an inherently complex device architecture – the bulk heterojunction – that has obscured our understanding of device physics, and handicapped rational material design. Here, we investigate the photophysics of a series of planar bilayer heterojunction devices incorporating fused-ring electron acceptors with power conversion efficiencies up to 11%. Using ultrafast optical spectroscopy, we demonstrate the importance of long-range layer-to-layer energy transfer in planar structures, isolating this effect by including an insulating layer between the donor and acceptor layers to eliminate charge transfer effects. We show that the slab geometry facilitates substantially longer-range energy transfer than between isolated molecules or small domains. Along with high molecular packing densities, high absorption coefficients, and long exciton diffusion lengths, we show that these effects amount to exciton harvesting length scales that match the light absorption lengths and thereby enable efficient bilayer devices. Our quantitative analysis of bilayer structures also accounts for large domain sizes in bulk-heterojunction devices including fused-ring electron acceptors, and it quantifies the importance of strong resonant spectral overlap is for material selection and design for highly efficient OPVs."
20,20,10.1093/cid/ciaa1351,,,National Immunization Campaigns With Oral Polio Vaccine May Reduce All-cause Mortality: An Analysis of 13 Years of Demographic Surveillance Data From an Urban African Area,2021,"BACKGROUND
Between 2002-2014, Guinea-Bissau had 17 national campaigns with oral polio vaccine (OPV) as well as campaigns with vitamin A supplementation (VAS), measles vaccine (MV), and H1N1-influenza vaccine. We examined the impact of these campaigns on child survival.


METHODS
We examined the mortality rate between day 1 and 3 years of age of all children in the study area. We used Cox models with age as underlying time to calculate adjusted mortality rate ratios (MRR) between ""after-campaign"" mortality and ""before-campaign"" mortality, adjusted for temporal change in mortality and stratified for season at risk.


RESULTS
Mortality was lower after OPV-only campaigns than before, the MRR for after-campaign vs. before-campaign being 0.75 (95% CI=0.67-0.85). Other campaigns did not have similar effects, the MRRs being 1.22 (1.04-1.44) for OPV+VAS campaigns, 1.39 (1.20-1.61) for VAS-only campaigns, 1.32 (1.09-1.60) for MV-with-VAS campaigns, and 1.13 (0.86-1.49) for the H1N1 campaign. Thus, all other campaigns differed significantly from the effect of OPV-only campaigns. Effects did not differ for trivalent, bivalent, or monovalent strains of OPV. With each additional campaign of OPV-only, the mortality rate declined further (MRR=0.86 (0.81-0.92) per campaign). With follow-up to 3 years of age, the number needed to treat (NNT) to save one life with campaign-OPV-only was 50 neonates.


CONCLUSION
OPV campaigns can have a much larger effect on child survival than otherwise assumed. Stopping OPV campaigns in low-income countries as part of the endgame for polio infection may increase child mortality."
21,21,10.1063/5.0048981,,,Studies of photoexcitations in polymer/non-fullerene blend for high-efficiency organic solar cells,2021,"We studied the photoexcitations properties in the blend of PBDB-T-SF, a donor π-conjugated copolymer, and ITIC-2F, a non-fullerene acceptor molecule, which is used as an active layer in high-performance organic photovoltaic (OPV) solar cells. We used several steady-state spectroscopies such as photoinduced absorption (PIA), photoluminescence (PL), magneto-photoinduced absorption (MPA), and magneto-PL in the pristine and blend films. The PIA spectra of the pristine copolymer and acceptor films contain a photoinduced absorption (PA) band due to triplet excitons, which is confirmed by the MPA(B) response, whereas the PIA spectrum of the copolymer/molecule blend contains several PA bands due to polaron pairs at the copolymer chain/molecule interfaces. Interestingly, when exciting the PIA spectrum of the blend at two different photon energies, namely, ℏ ω ≈ 2.39 eV that preferentially excites the copolymer chains and ℏ ω ≈ 1.58 eV that excites only the acceptor molecules, we found that the PIA spectra are the same. This shows that charge photogeneration is possible when exciting either the copolymer chains or the acceptor molecules, which might explain the high power conversion efficiency of OPV cells based on this blend. We also found from the MPA(B) responses of the pristine copolymer and acceptor films and their blend that the back reaction of the photogenerated polaron pairs into the copolymer forming triplet excitons is absent, further explaining the high power conversion efficiency of this blend as the active layer in OPV solar cells."
22,22,10.1016/j.solener.2021.03.025,,,Efficient fully roll-to-roll coated encapsulated organic solar module for indoor applications,2021,"Abstract The recent development of 5G networks has enabled the internet of things (IoT) to emerge as a key factor in the growing global data network. For the IoT, not only are sensors required, but also alternative ways to supply them with the energy they need. Organic photovoltaics (OPV) are a promising solution for energy harvesting and self-generation for low-consumption sensors since they have excellent physical, optical and electrical properties, including being lightweight, having shape freedom, broad-range absorption spectra, semi-transparency, and they are highly efficient even in extremely low-light environments. Here, we report, encapsulated OPV module optimized for indoor applications delivering 18% power conversion efficiency (PCE) under 400 lx LED illumination. All modules were fabricated and encapsulated in air using totally scalable roll-to-roll (R2R) slot-die coating and screen-printing methods made on flexible substrates with non-toxic solvents."
24,24,10.3390/polym13101640,,,Influence of the active layer structure on the photovoltaic performance of water-soluble polythiophene-based solar cells,2021,"A new side-chain C60-fullerene functionalized thiophene copolymer bearing tributylphosphine-substituted hexylic lateral groups was successfully synthesized by means of a fast and effective post-polymerization reaction on a regioregular ω-alkylbrominated polymeric precursor. The growth of the polymeric intermediate was followed by NMR spectrometry in order to determine the most convenient reaction time. The obtained copolymer was soluble in water and polar solvents and was used as a photoactive layer in single-material organic photovoltaic (OPV) solar cells. The copolymer photovoltaic efficiency was compared with that of an OPV cell containing a water-soluble polythiophenic homopolymer, functionalized with the same tributylphosphine-substituted hexylic side chains, in a blend with a water-soluble C60-fullerene derivative. The use of a water-soluble double-cable copolymer made it possible to enhance the control on the nanomorphology of the active blend, thus reducing phase-segregation phenomena, as well as the macroscale separation between the electron acceptor and donor components. Indeed, the power conversion efficiency of OPV cells based on a single material was higher than that obtained with the classical architecture, involving the presence of two distinct ED and EA materials (PCE: 3.11% vs. 2.29%, respectively). Moreover, the synthetic procedure adopted to obtain single material-based cells is more straightforward and easier than that used for the preparation of the homopolymer-based BHJ solar cell, thus making it possible to completely avoid the long synthetic pathway which is required to prepare water-soluble fullerene derivatives."
26,26,10.1016/j.synthmet.2021.116740,,,Non-radiative energy transfer in aqueously dispersed polymeric nanoparticles for photovoltaic applications,2021,"Abstract Polymeric nanoparticles dispersed in an aqueous medium were synthesized using the miniemulsion technique. In this study, nanoparticles composed of copolymer F8T2, homopolymer MDMO-PPV and a mixture of both were investigated aiming to unravel the interaction between these materials. By decreasing the distance between the nanostructured materials, higher Forster resonance energy transfer (FRET) was observed from F8T2 to MDMO-PPV. This enhanced energy transfer could generate more free charge carriers, increasing the short circuit current density, when the nanoparticles were applied as an active layer in organic photovoltaic devices, influencing the increase in the efficiency of these devices."
27,27,10.1016/j.orgel.2021.106091,,,Impure sexithiophene: The reality of supplied materials for organic electronic applications,2021,"Abstract Organic electronics are particularly susceptible to minor impurities within a materials sample because any amount of impurity can alter device performance. Here we outline and explore a specific example of how the sudden decrease in our organic solar cell (OSC) performance was attributed to purchased material with a minor impurity not acknowledged by an external supplier. Had there been no standard procedure in place to evaluate a new batch of materials, the issue could have gone unchecked and inadvertently affected other results in the future. In this specific example, we confirmed the presence of impurities in an alpha-sexithiophene sample purchased from a supplier that drastically affected baseline device data. Our goal is to bring awareness to the issue and emphasise the importance of verifying the purity of any materials purchased for organic electronics by establishing a baseline which would flag any major fabrication changes or the presence of impurities. We hope these analogous issues and methodologies are reported in pursuit of advancing the pace of research and development."
28,28,10.1016/j.jclepro.2020.125333,,,Use of hybrid renewable energy system with organic photovoltaic cells in zinc electrowinning,2021,"Abstract This work evaluates the use of customized hybrid renewable energy system (HRES) with organic photovoltaic (OPV) cells for producing a high-purity metal by electrowinning. This process usually represents the most energy intensive step in the mining industry. A key advantage about the developed system is that the electric charge is inherently generated as direct current (DC), which can be directly supplied to the electrowinning cells without using intermediate rectifiers. This approach eliminates the energy losses associated, thus increasing the overall efficiency of the power system, and decreases the carbon footprint of the industrial facility. In this context, the main purpose of this first work was to evaluate the energy saving performance of the technology and its application to produce a quality product, which was characterized by morphology, crystal structure and bending behavior. The electrowinning of zinc was selected as case study. Thus, zinc electrodeposition tests were conducted under conditions practiced in industrial operations. The results demonstrated the proper functioning of the HRES system, since constant DC current was supplied to the process. The zinc cathodes exhibited morphology and structure typically described in the literature, which were ductile enough to allow bending without fracturing. On days with global horizontal irradiances in the range from 100 W m-2 to 1200 W m-2, 26±4% of the total current supplied to the electrowinning cell was generated by the OPV cells used in this work. In Brazil, this performance corresponds to carbon mitigation of about 6.4x10-2 tons of carbon dioxide equivalents (CO2 eq) per ton of zinc produced. These findings indicate that hybrid systems with photovoltaic cells represent an alternative to save energy and increase the sustainability of electrowinning processes."
29,29,10.1103/PhysRevApplied.15.044054,,,Exciton Heating Versus Cooling: Charge Separation Driven by Entropy and Delocalization at Interfaces with Planar Molecules,2021,"The recent development of nonfullerene acceptors (NFAs) has resulted in an abrupt increase in the organic photovoltaic (OPV) efficiency. It remains unclear why charge separation (CS) can occur at a high yield in NFA OPVs despite the small energy-level offset at the donor-acceptor (D-A) interface. $\mathrm{In}$ order to resolve this issue, zinc phtholacyanine (ZnPc) and its fluorinated derivative (${\mathrm{F}}_{8}\mathrm{Zn}\mathrm{Pc}$) are used to build a model D-A interface for understanding the mechanism underlying the efficient CS in NFA OPVs. At this interface, we find that bound charge-transfer (CT) excitons can undergo a heating process in which the enthalpy increases at a surprisingly fast rate. Specifically, the CT exciton gains 0.3 eV from the environment in merely 10 ps. This fast exciton heating, which eventually leads to CS, resembles the CS behavior observed in NFA bulk heterojunctions (BHJs). Interestingly, when the pair of D-A molecules switches from a face-on to an edge-on orientation, the CT-exciton heating process is reversed to the typical hot CT-exciton cooling process in which the enthalpy decreases with time. By using sub-band-gap excitation, we further find that the exciton heating can occur directly from cold CT excitons without the need of excess energy provided by the energy-level offset. The competition between the exciton heating and cooling is explained by a model that incorporates the effect of entropy, electron delocalization, and structural anisotropy. It is found that for the face-on orientation, the small contact area between the delocalized electron and hole within the CT exciton significantly reduces the number of cold CT states, which increases the entropic driving force and drives the reaction into the heating direction. This finding provides insight on why the entropy-and-delocalization-driven CS would preferentially occur in NFA BHJs. The relative orientation of the NFA molecular stack and the polymer chain, together with bulky side groups, make the delocalized electron and hole in contact with each other via isolated pointlike junctions, which is the key for activating the exciton heating and subsequent CS."
30,30,10.3390/molecules26072012,,,Conducting silicone-based polymers and their application,2021,"Over the past two decades, both fundamental and applied research in conducting polymers have grown rapidly. Conducting polymers (CPs) are unique due to their ease of synthesis, environmental stability, and simple doping/dedoping chemistry. Electrically conductive silicone polymers are the current state-of-the-art for, e.g., optoelectronic materials. The combination of inorganic elements and organic polymers leads to a highly electrically conductive composite with improved thermal stability. Silicone-based materials have a set of extremely interesting properties, i.e., very low surface energy, excellent gas and moisture permeability, good heat stability, low-temperature flexibility, and biocompatibility. The most effective parameters constructing the physical properties of CPs are conjugation length, degree of crystallinity, and intra- and inter-chain interactions. Conducting polymers, owing to their ease of synthesis, remarkable environmental stability, and high conductivity in the doped form, have remained thoroughly studied due to their varied applications in fields like biological activity, drug release systems, rechargeable batteries, and sensors. For this reason, this review provides an overview of organosilicon polymers that have been reported over the past two decades."
