,Unnamed: 0,doi,publication,publisher,title,year,Abstract
20,20,10.1021/acsami.1c05921,,,All-Polymer Solar Cells Approaching 12% Efficiency with a New π-Conjugated Polymer Donor Enabled by a Nonhalogenated Solvent Process,2021,"High efficiency and nonhalogenated solvent processing are important issues for commercial application of all-polymer solar cells (all-PSCs). In this regard, we increased the photovoltaic performance of all-PSCs to a benchmark power conversion efficiency (PCE) of 11.66% by manipulating the pre-aggregation of a new π-conjugated polymer donor (Nap-SiBTz) using toluene as a solvent. This use of Nap-SiBTz enhanced the absorption coefficient (λmax = 9.30 × 104 cm-1), increased charge carrier mobility, suppressed trap-assisted recombination, improved bulk heterojunction morphology, and resulted in high PCEs of all-PSCs with an active layer thickness of 200 nm. To overcome severe charge recombination and energy losses, a 1-phenylnapthalene additive was used to achieve a well-ordered microstructure and molecular packing that inherently improved the device performances. The resulting encapsulation-free devices exhibited good ambient and thermal stabilities. The results of this study augur well for the future of the roll-to-roll production of all-PSCs."
21,21,10.1039/d1tc01290h,,,BODIPY-modified terpolymer donors for efficient fullerene- And nonfullerene-polymer solar cells,2021,"Developing efficient polymer donor materials to well-match with acceptors affords continuous contributions to the eminent progress of polymer solar cells (PSCs). Herein, a new series of terpolymer donors is developed by embedding electron-deficient boron dipyrromethene (BODIPY) as the third monomer into the backbone of the benchmark copolymer PTB7-Th. Terpolymers afford less-rigid planarity, ascensive light-harvest ability, down-shifted HOMO levels and modified aggregation properties. Compared with copolymer PTB7-Th, synchronously improved photovoltaic performance is realized by employing terpolymers as electron donors both for fullerene and nonfullerene acceptors, with the average power conversion efficiency (PCE) enhanced from 8.78% to 9.52% for PC71BM- and from 8.79% to 10.05% for IEICO-4F-based devices, respectively. Interestingly, it is found that in terpolymer:fullerene blends, favorable light-harvesting contributes to boosted PCE. Additionally, for PSCs based on nonfullerene acceptors, improved photovoltaic performance is mainly ascribed to the modified morphology by a terpolymer approach. Our results not only confirm the advantages of BODIPY units in constructing efficient terpolymers, but also illuminate the unique virtues of the terpolymer strategy in synergistical optimization of the photovoltaic parameters to contribute to both efficient fullerene- and nonfullerene-PSCs."
22,22,10.1021/acsami.1c02442,,,A Wide Bandgap Polymer Donor Composed of Benzodithiophene and Oxime-Substituted Thiophene for High-Performance Organic Solar Cells,2021,"Oxime-substituted thiophene (TO) is used as an acceptor (A) unit to copolymerize with the benzodithiophene (BDT) donor (D) unit to form a novel D-A polymer donor, PBDTTO, which has a low-lying highest occupied molecular orbital energy level (EHOMO) of -5.60 eV and a wide bandgap of 2.03 eV, forming complementary absorption and matching energy levels with the narrow bandgap nonfullerene acceptors. Organic solar cells using PBDTTO and Y6 as the donor and acceptor, respectively, exhibited a JSC of 27.03 mA cm-2, a VOC of 0.83 V, and a fill factor of 0.59, reaching a high power conversion efficiency of 13.29%. The unencapsulated devices show good long-term stability in ambient air. Compared with the acceptor monomers used in other high-performance BDT-based D-A polymer donors, which are synthesized tediously in low yields, the TO acceptor monomer can be conveniently synthesized in only two steps with a high overall yield of 70%. These results demonstrate that TO unit can be used as a promising acceptor unit for developing BDT-based D-A polymer donors at low cost while maintaining high photovoltaic performance."
23,23,10.1126/sciadv.abf7672,,,"Revealing generation, migration, and dissociation of electron-hole pairs and current emergence in an organic photovoltaic cell",2021,"Photoexcitation, electron-hole pair migration, charge separation, and current generation are simulated quantum mechanically. Using an innovative quantum mechanical method for an open quantum system, we observe in real time and space the generation, migration, and dissociation of electron-hole pairs, transport of electrons and holes, and current emergence in an organic photovoltaic cell. Ehrenfest dynamics is used to study photoexcitation of thiophene:fullerene stacks coupled with a time-dependent density functional tight-binding method. Our results display the generation of an electron-hole pair in the donor and its subsequent migration to the donor-acceptor interface. At the interface, electrons transfer from the lowest unoccupied molecular orbitals (LUMOs) of thiophenes to the second LUMOs of fullerene. Further migration of electrons and holes leads to the emergence of current. These findings support previous experimental evidence of coherent couplings between electronic and vibrational degrees of freedom and are expected to stimulate further work toward exploring the interplay between electron-hole pair (exciton) binding and vibronic coupling for charge separation and transport."
24,24,10.1515/zpch-2019-1523,,,The theoretical investigation of the opto-electronic properties of designed molecules having 2-(2-Methylene-3-oxo-indane-1-ylidene)malononitrile as end-capped acceptors,2021,"Abstract Five acceptor-donor-acceptor molecules having different core units with 2-(2-Methylene-3-oxo-indane-1-ylidene)malononitrile as end capped terminal acceptor unit were designed. The ground state geometries and electronic properties were calculated by using density functional theory (DFT) at MPW1PW91/6-31G(d,p) level of theory. The absorption spectra were computed by using time dependent DFT at MPW1PW91/6-31G(d,p) level of theory. The designed molecules have broad absorption range in visible region. M3 shows relatively lower band gap so that having high light harvesting efficiency (LHE). The molecules consider as better hole blocking materials in term of high ionization potentials. The reorganization energies calculation of M1, M2 and M4 manifests that these molecules are the optimal candidate for electron transportation. High value of Voc has been observed for molecules which would favorably contribute in power conversion efficiency. M1, M2, M4 and M5 are more stable in terms of absolute hardness and electrostatic potential surfaces. All molecules show good opto-electronic properties in the aspect of their use in photovoltaic application."
25,25,10.1007/s11426-021-9988-6,,,Non-equivalent D-A copolymerization strategy towards highly efficient polymer donor for polymer solar cells,2021,"D-A copolymerization is a broadly utilized molecular design strategy to construct high efficiency photovoltaic materials for polymer solar cells (PSCs), and all the D-A copolymer donors reported till now are the alternate D-A copolymers with equal D- and A-units. Here, we first propose a non-equivalent D-A copolymerization strategy with unequal D- and A-units, and develop three novel non-equivalent D-A copolymer donors (PM6-D1, PM6-D2 and PM6-D3 with D/A unit ratio of 1.1:0.9, 1.2:0.8 and 1.3:0.7, respectively) by inserting more D units into the alternate D-A copolymer PM6 backbone to finely tune the physicochemical and photovoltaic properties of the polymers. The three non-equivalent D-A copolymers show the down-shifted highest occupied molecular orbital (HOMO) energy levels, higher hole mobility, higher degree of molecular self-assembly and higher molecular crystallinity with the increase of D-unit ratio in comparison with the alternate D-A copolymer PM6. As a result, all the three non-equivalent D-A copolymer-based PSCs with Y6 as acceptor achieve improved power conversion efficiency (PCE) with higher Voc, larger Jsc and higher FF simultaneously. Particularly, the PM6-D1:Y6 based PSC achieved a high PCE of 17.71%, which is significantly higher than that (15.82%) of the PM6:Y6 based PSC and is one of the highest performances in the binary PSCs."
26,26,10.3390/polym13111770,,,Comparing donor- and acceptor-originated exciton dynamics in non-fullerene acceptor blend polymeric systems,2021,"Non-fullerene type acceptors (NFA) have gained attention owing to their spectral extension that enables efficient solar energy capturing. For instance, the solely NFA-mediated absorbing region contributes to the photovoltaic power conversion efficiency (PCE) as high as ~30%, in the case of the solar cells comprised of fluorinated materials, PBDB-T-2F and ITIC-4F. This implies that NFAs must be able to serve as electron donors, even though they are conventionally assigned as electron acceptors. Therefore, the pathways of NFA-originated excitons need to be explored by the spectrally resolved photovoltaic characters. Additionally, excitation wavelength dependent transient absorption spectroscopy (TAS) was performed to trace the nature of the NFA-originated excitons and polymeric donor-originated excitons separately. Unique origin-dependent decay behaviors of the blend system were found by successive comparing of those solutions and pristine films which showed a dramatic change upon film formation. With the obtained experimental results, including TAS, a possible model describing origin-dependent decay pathways was suggested in the framework of reaction kinetics. Finally, numerical simulations based on the suggested model were performed to verify the feasibility, achieving reasonable correlation with experimental observables. The results should provide deeper insights in to renewable energy strategies by using novel material classes that are compatible with flexible electronics."
29,29,10.1002/adma.202100474,,,A Quinoxaline-Based D–A Copolymer Donor Achieving 17.62% Efficiency of Organic Solar Cells,2021,"Side-chain engineering has been an effective strategy in tuning electronic energy levels, intermolecular interaction, and aggregation morphology of organic photovoltaic materials, which is very important for improving the power conversion efficiency (PCE) of organic solar cells (OSCs). In this work, two D-A copolymers, PBQ5 and PBQ6, are designed and synthesized based on bithienyl-benzodithiophene (BDTT) as the donor (D) unit, difluoroquinoxaline (DFQ) with different side chains as the acceptor (A) unit, and thiophene as the π-bridges. PBQ6 with two alkyl-substituted fluorothiophene side chains on the DFQ units possesses redshifted absorption, stronger intermolecular interaction, and higher hole mobility than PBQ5 with two alkyl side chains on the DFQ units. The blend film of the PBQ6 donor with the Y6 acceptor shows higher and balanced hole/electron mobilities, less charge carrier recombination, and more favorable aggregation morphology. Therefore, the OSC based on PBQ6:Y6 achieves a PCE as high as 17.62% with a high fill factor of 77.91%, which is significantly higher than the PCE (15.55%) of the PBQ5:Y6-based OSC. The PCE of 17.62% is by far one of the highest efficiencies for the binary OSCs with polymer donor and Y6 acceptor."
30,30,10.1016/j.dyepig.2021.109330,,,Phenothiazine based organic dyes for dye sensitized solar cells: A theoretical study on the role of π-spacer,2021,"Abstract In this contribution, six new organic dyes were investigated by the density functional theory (DFT). The electron-donor unit is a phenothiazine fragment substituted by an ethynyl-pyrene unit while the electron acceptor group is the cyanoacrylic acid for all sensitizers; the π-linker was changed and its effect investigated. The dye baring dioxythiophene linker has the highest absorption maxima. The theoretical photovoltaic properties indicated that the over-all yield of the solar cell could be remarkably improved with the designed dyes. The results showed that all the studied organic dyes are potential candidates as photosensitizers for dye sensitized solar cells (DSSCs)."
31,31,10.1002/adfm.202100387,,,Enhancement of Photovoltaic Current through Dark States in Donor-Acceptor Pairs of Tungsten-Based Transition Metal Di-Chalcogenides,2021,"As several photovoltaic materials experimentally approach the Shockley– Queisser limit, there has been a growing interest in unconventional materials and approaches with the potential to cross this efficiency barrier. One such candidate is dark state protection induced by the dipole–dipole interaction between molecular excited states. This phenomenon has been shown to significantly reduce carrier recombination rate and enhance photon-to-current conversion, in elementary models consisting of few interacting chromophore centers. Atomically thin 2D transition metal di-chalcogenides (TMDCs) have shown great potential for use as ultrathin photovoltaic materials in solar cells due to their favorable photon absorption and electronic transport properties. TMDC alloys exhibit tunable direct bandgaps and significant dipole moments. In this work, the dark state protection mechanism has been introduced to a TMDC based photovoltaic system with pure tungsten diselenide (WSe2) as the acceptor material and the TMDC alloy tungsten sulfo-selenide (WSeS) as the donor material. Our numerical model demonstrates the first application of the dark state protection mechanism to a photovoltaic material with a photon current enhancement of up to 35% and an ideal photon-to-current efficiency exceeding the Shockley–Queisser limit."
32,32,10.1016/j.synthmet.2021.116756,,,Effect of alkylthiolated hetero-aromatic rings on the photovoltaic performance of benzodithiophene-based polymer/fullerene solar cells,2021,"Abstract Three new donor–acceptor (D–A) copolymers based on benzodithiophene (BDT) with alkylthiolated aromatic rings furan, thiophene, and benzene and 5,6-difluoro-4,7-bis(4-(2-octyldodecyl)thiophen-2-yl)benzo[c][1,2,5]thiadiazole (DTBT) units, namely PBDTFS-DTBT, PBDTTS-DTBT, and PBDTPS-DTBT, respectively, were synthesized and applied in solution-processed fullerene type organic solar cells (OSCs). The target polymers were systematically investigated by thermogravimetric analysis (TGA), ultraviolet-visible (UV–vis) absorption spectra, cyclic voltammetry (CV), density functional theory (DFT) and photovoltaic measurements. The experimental results imply that the electron push-pull effect and torsion angles between the conjugated side hetero-aromatic rings and BDT core play a key role in tuning the optical absorption bands, molecular energy levels, hole mobilities, and morphology of the corresponding polymers. The OSCs based on PBDTTS-DTBT and [6,6]-phenyl-C71-butyric acid methyl ester (PC71BM) show the highest power conversion eﬃciency (PCE) of 7.80% among the three polymeric analogues, with an open-circuit voltage (Voc) of 0.92 V, a short-circuit current density (Jsc) of 11.95 mA cm−2 and fill factor (FF) of 70.76%. Hence, the results in this work indicate that the photovoltaic properties of the BDT-BT-based polymers can be eﬀectively modulated by introducing conjugated alkylthiolated hetero-aromatic rings with the varied electron donating ability and steric hindrance."
34,34,10.1016/j.mtener.2021.100658,,,Achieve panchromatic absorption for all-small-molecule organic solar cells based on mono-porphyrin molecules by π-bridge modification,2021,"Abstract Porphyrin small molecules have been widely used in organic solar cells in recent years. However, further improvement of device efficiency is restricted owing to the absorption defects between Soret and Q bands of porphyrin donors and the limitation of application. The aim of this study was to compensate for its inherent defects and explore the photoelectric properties combined with the non-fused non-fullerene acceptor (NFA) to increase its universality. To achieve this goal, seven mono-porphyrin donor molecules with A-π-D-π-A configuration (SM1-SM7) were designed by modifying the π-bridges. The results indicate that π-bridge and side chains can lead to different ways of intramolecular charge transfer, which obtaining a new absorption peak between Soret and Q bands while the absorption range was extended to a near-infrared region (up to 1200 nm). When combined with the NFA, the larger ratios of intermolecular charge transfer and recombination rates (kinter-CT/kinter-CR) exceed 1011, which is conducive to obtaining higher short circuit current (JSC). At the same time, the open-circuit voltages (VOC) of devices were close to and/or higher than 1.0 V, indicating that the imbalance between JSC and VOC will be broken. Finally, we hope that this work can provide a strategy for designing potential panchromatic absorption donor molecules."
35,35,10.1016/j.mtener.2020.100633,,,"Novel thieno[3,2-b]thiophene-embedded small-molecule donors for highly efficient and photostable vacuum-processed organic photovoltaics",2021,"Abstract Four thieno[3,2-b]thiophene (TT)-based donor-π-acceptor–type small-molecule donors DTCPTT, DTCPTT-2CN, DTDCPTT, and DTDCPTT-2CN were synthesized and characterized. A clear structure-property relationship correlating the effects of introducing cyano groups onto the TT and the end-capping groups has been successfully established. DTDCPTT and DTDCPTT-2CN were adopted as electron donors for organic photovoltaics (OPVs) mainly due to the strong intramolecular charge transfer absorption in the visible light region, sufficiently high thermal stability, and appropriate energy level alignment with C70. Moreover, the analyses of crystal structures reveal that DTDCPTT and DTDCPTT-2CN form antiparallel dimer pairs through strong dipolar and non-covalent intermolecular interactions. X-ray structures also indicate that introducing cyano groups onto the TT moiety does not affect the backbone planarity significantly. Compared with DTDCPTT-2CN, the more compact and uniform crystal packing renders DTDCPTT advantageous for exciton dissociation and charge carrier transport. DTDCPTT-based device achieves power conversion efficiency as high as 7.81% and 16.89%, respectively, under simulated AM 1.5G illumination and 500 lux TLD-840 fluorescent lamp illumination, which could be attributed to stronger absorption and better photocurrent extraction. In addition, both devices exhibit high stability under continuous simulated 1 sun illumination for more than 300 h. As far as we know, this is the best performance for vacuum-processed small-molecule indoor OPVs to date."
37,37,10.1016/j.jechem.2020.09.025,,,14.46% Efficiency small molecule organic photovoltaics enabled by the well trade-off between phase separation and photon harvesting,2021,"Abstract Small molecule organic photovoltaics (SMPVs) were prepared by utilizing liquid crystalline donor material BTR-Cl and two similar optical bandgap non-fullerene acceptor materials BTP-BO-4F and Y6. The BTP-BO-4F and Y6 have the similar optical bandgap and different absorption coefficients. The corresponding binary SMPVs exhibit different short circuit current density (JSC) (20.38 vs. 23.24 mA cm-2), and fill factor (FF) (70.77% vs. 67.21%). A 14.46% power conversion efficiency (PCE) is acquired in ternary SMPVs with 30 wt% Y6, companied with a JSC of 24.17 mA cm-2, a FF of 68.78% and an open circuit voltage (VOC) of 0.87 V. The improvement on PCE of ternary SMPVs should originate from the well trade-off between phase separation and photon harvesting of ternary active layers by incorporating 30 wt% Y6 in acceptors. This work may deliver insight onto the improved performance of SMPVs by superposing the superiorities of binary SMPVs with similar optical bandgap acceptors into one ternary cell."
38,38,10.1021/acs.jpclett.1c01219,,,Efficient Charge Transport Enables High Efficiency in Dilute Donor Organic Solar Cells,2021,"The donor/acceptor weight ratio is crucial for photovoltaic performance of organic solar cells (OSCs). Here, we systematically investigate the photovoltaic behaviors of PM6:Y6 solar cells with different stoichiometries. It is found that the photovoltaic performance is tolerant to PM6 contents ranging from 10 to 60 wt %. Especially an impressive efficiency over 10% has been achieved in dilute donor solar cells with 10 wt % PM6 enabled by efficient charge generation, electron/hole transport, slow charge recombination, and field-insensitive extraction. This raises the question about the origin of efficient hole transport in such dilute donor structure. By investigating hole mobilities of PM6 diluted in Y6 and insulators, we find that effective hole transport pathway is mainly through PM6 phase in PM6:Y6 blends despite with low PM6 content. The results indicate that a low fraction of polymer donors combines with near-infrared nonfullerene acceptors could achieve high photovoltaic performance, which might be a candidate for semitransparent windows."
40,40,10.1021/acsami.1c03794,,,Synergistic Engineering of Substituents and Backbones on Donor Polymers: Toward Terpolymer Design of High-Performance Polymer Solar Cells,2021,"Design of terpolymers via copolymerization has emerged as a potential strategy for expanding the family of high-performing donor polymers and boosting the photovoltaic performance of non-fullerene polymer solar cells (PSCs). Herein, double-ester-substituted thiophenes and thienothiophenes are incorporated as third building blocks into the donor polymer PBDB-TF, developing two groups of terpolymers with donor-acceptor 1-donor-acceptor 2 (D-A1-D-A2)-type backbones. An optimum 10% concentration of double-ester-substituted thiophene units in PBDB-TF-T10 downshifts the molecular energy and increases the dielectric constant, and delivers proper miscibility and nanostructure in blends with the high-performing acceptor Y6. These characteristics are designed to synergistically enhance the photovoltage, photocurrent, and efficiency of PSCs. The resulting power conversion efficiency (PCE) of 16.4% surpasses the conventional PBDB-TF/Y6 PSCs, and it is among the best-performing PSCs based on PBDB-TF-derived terpolymers. Gratifyingly, PBDB-TF-T10 does not show significant batch-to-batch variation and it retains high PCEs above 16% in a broad range of molecular weights. This work introduces a facile strategy to easily synthesize terpolymers in combination with Y6 for the attainment of high-performing and reproducible non-fullerene PSCs."
