,DOI,Abstract
10,10.1021/acsami.6b16395,"We designed, synthesized, and characterized a series of novel electron deficient small molecule nonfullerene acceptors based on 1,8-naphthalimide (NAI) and 9-fluorenone (FN) with different branched alkyl chains using various techniques. These molecules are based on an acceptor-donor-acceptor-donor-acceptor (A1-D-A2-D-A1) molecular design configuration with NAI as the end-capping acceptor (A1), FN as electron-withdrawing central (A2) group, and thiophene ring as a donor (D) unit. These materials are named as NAI-FN-NAI (BO) and NAI-FN-NAI (HD) where BO and HD represent butyloctyl and hexyldecyl alkyl groups, respectively. To further modify energy levels of these materials, we converted the weak electron withdrawing ketonic group (C═O) attached to the FN moiety of NAI-FN-NAI (BO) to a stronger electron withdrawing cyano group (C≡N) to obtain the compound NAI-FCN-NAI (BO) by keeping the same alkyl chain. The optical, electrochemical, and thermal properties of the new acceptors were studied. The materials exhibited higher to medium band gaps, low lowest unoccupied molecular orbital (LUMO) energy levels, and highly thermally stable properties. Organic solar cell devices employing conventional poly(3-hexylthiophene) (P3HT) a donor polymer and the newly designed small molecules as the acceptor were investigated. Among all new materials, organic solar cell devices based on NAI-FN-NAI (BO) as an acceptor exhibit the highest performance with an open circuit voltage (VOC) of 0.88 V, a short-circuit current density (JSC) of 9.1 mAcm-2, a fill factor (FF) of 45%, and an overall power conversion efficiency (PCE) of 3.6%. This is the first report of 9-fluorenone based nonfullerene acceptor with P3HT donor in organic solar cell devices with such a promising performance."
11,10.1021/acsami.7b05417,"There has been a growing interest in the design and synthesis of non-fullerene acceptors for organic solar cells that may overcome the drawbacks of the traditional fullerene-based acceptors. Herein, two novel push-pull (acceptor-donor-acceptor) type small-molecule acceptors, that is, ITDI and CDTDI, with indenothiophene and cyclopentadithiophene as the core units and 2-(3-oxo-2,3-dihydroinden-1-ylidene)malononitrile (INCN) as the end-capping units, are designed and synthesized for non-fullerene polymer solar cells (PSCs). After device optimization, PSCs based on ITDI exhibit good device performance with a power conversion efficiency (PCE) as high as 8.00%, outperforming the CDTDI-based counterparts fabricated under identical condition (2.75% PCE). We further discuss the performance of these non-fullerene PSCs by correlating the energy level and carrier mobility with the core of non-fullerene acceptors. These results demonstrate that indenothiophene is a promising electron-donating core for high-performance non-fullerene small-molecule acceptors."
12,10.1021/acsami.7b06650,"A formylated benzodi(cyclopentadithiophene) (BDCPDT) ladder-type structure with forced coplanarity is coupled with two 1,1-dicyanomethylene-3-indanone (IC) moieties via olefination to form a non-fullerene acceptor, BDCPDT-IC. The BDCPDT-IC, as an acceptor (A1) with broad light-absorbing ability and excellent solution processability, is combined with a second PC71BM acceptor (A2) and a medium band gap polymer, PBDB-T, as the donor (D) to form a ternary blend with gradient HOMO/LUMO energy alignments and panchromatic absorption. The device with the inverted architecture using the D:A1:A2 ternary blend has achieved a highest efficiency of 9.79% with a superior Jsc of 16.84 mA cm-2."
13,10.1021/acsami.7b09253,"Recent years have seen a rapid progress in the power conversion efficiencies (PCEs) of non-fullerene polymer solar cells (NF PSCs). However, the donor materials accordingly used are typical low or medium band gap polymers, some of which possess badly overlapped absorption spectra relative to the low band gap n-type acceptors, for example, 3,9-bis(2-methylene-(3-(1,1-dicyanomethylene)indanone)-5,5,11,11-tetrakis(4-hexylphenyl)dithieno[2,3-d:2',3'-d']-s-indaceno[1,2-b:5,6-b']dithiophene) (ITIC). To obtain polymers simultaneously owning a wide band gap, a highly extended π-conjugation system, and a low-lying highest occupied molecular orbital (HOMO), a polymer (PBDTSi-TA) incorporating 2-(triisopropylsilylethynyl)thiophene substituted benzodithiophene (BDTSi) and fluorinated benzotriazole (FTAZ) units was designed and synthesized. PBDTSi-TA (Egopt = 1.92 eV) exhibits strong molecular aggregation properties and a lower-lying HOMO energy level compared to its structural analogues. When blended with ITIC and after device optimization with solvent vapor annealing in combination with a developed PDIN/BCP/Ag cathode structure, PSCs yielded a PCE of 7.51%, with Voc = 0.96 V. Moreover, a rather small energy loss (Eloss) of 0.6-0.63 eV was determined. For comparison, another polymer (PBDTSi-Qx) with a more-electron-deficient quinoxaline-based acceptor unit was also synthesized and applied to NF PSCs. Charge generation rate, exciton dissociation probabilities, dark leakage current, nanoscale morphology, and charge carrier mobilities have been evaluated to probe the reasons for the differentiated performances. The results suggest that PBDTSi-TA is a promising donor material for NF PSCs, and the molecular design strategy demonstrated here would be helpful for pursuing high-performance polymers for PSCs."
14,10.1021/acsami.7b09757,"Although the combination of wide band gap polymer donors and narrow band gap small-molecule acceptors achieved state-of-the-art performance as bulk heterojunction (BHJ) active layers for organic solar cells, there have been only several of the wide band gap polymers that actually realized high-efficiency devices over >10%. Herein, we developed high-efficiency, low-energy-loss fullerene-free organic solar cells using a weakly crystalline wide band gap polymer donor, PBDTTPD-HT, and a nonfullerene small-molecule acceptor, ITIC. The excessive intermolecular stacking of ITIC is efficiently suppressed by the miscibility with PBDTTPD-HT, which led to a well-balanced nanomorphology in the PBDTTPD-HT/ITIC BHJ active films. The favorable optical, electronic, and energetic properties of PBDTTPD-HT with respect to ITIC achieved panchromatic photon-to-current conversion with a remarkably low energy loss (0.59 eV)."
15,10.1021/acsami.7b09915,"Three indacenodithieno[3,2-b]thiophene (IT) cored small molecular acceptors (ITIC-SC6, ITIC-SC8, and ITIC-SC2C6) were synthesized, and the influence of side chains on their performances in solar cells was systematically probed. Our investigations have demonstrated the variation of side chains greatly affects the charge dissociation, charge mobility, and morphology of the donor:acceptor blend films. ITIC-SC2C6 with four branched side chains showed improved solubility, which can ensure the polymer donor to form favorable fibrous nanostructure during the drying of the blend film. Consequently, devices based on PBDB-ST:ITIC-SC2C6 demonstrated higher charge mobility, more effective exciton dissociation, and the optimal power conversion efficiency up to 9.16% with an FF of 0.63, a Jsc of 15.81 mA cm-2, and a Voc of 0.92 V. These results reveal that the side chain engineering is a valid way of tuning the morphology of blend films and further improving PCE in polymer solar cells."
16,10.1021/acsami.7b10059,"A new wide-band-gap conjugated polymer PBODT was successfully synthesized that showed high crystallinity and was utilized as the active material in nonfullerene bulk-heterojunction polymer solar cells (PSCs). The photovoltaic devices based on the as-cast blend films of PBODT with ITIC and IDIC acceptors showed notable power conversion efficiencies (PCEs) of 7.06% and 9.09%, with high open-circuit voltages of 1.00 and 0.93 V that correspond to low energy losses of 0.59 and 0.69 eV, respectively. In the case of PBODT:ITIC, lower exciton quenching efficiency and monomolecular recombination are found for devices with small driving force. On the other hand, the relatively higher driving force and suppressed monomolecular recombination for PBODT:IDIC devices are identified to be the reason for their higher short-circuit current density (Jsc) and higher PCEs. In addition, when processed with the nonchlorinated solvent 1,2,4-trimethylbenzene, a good PCE of 8.19% was still achieved for the IDIC-based device. Our work shows that such wide-band-gap polymers have great potential for the environmentally friendly fabrication of highly efficient PSCs."
17,10.1021/acsami.7b12612,"In this research, a haptacyclic carbazole-based dithienocyclopentacarbazole (DTCC) ladder-type structure was formylated to couple with two 1,1-dicyanomethylene-3-indanone (IC) moieties, forming a new nonfullerene acceptor DTCCIC-C17 using a bulky branched 1-octylnonayl side chain at the nitrogen of the embedded carbazole and four 4-octylphenyl groups at the sp3-carbon bridges. The rigid and coplanar main-chain backbone of the DTCC core provides a broad light-absorbing window and a higher-lying LUMO energy level, whereas the bulky flanked side chains reduce intermolecular interactions, making DTCCIC-C17 amorphous with excellent solution processability. The DTCCIC-C17 as an acceptor is combined with a medium band gap polymer poly[(2,6-(4,8-bis(5-(2-ethylhexyl)thiophen-2-yl)-benzo[1,2-b:4,5-b']dithiophene))-alt-(5,5-(1',3'-di-2-thienyl-5',7'-bis(2-ethylhexyl)benzo[1',2'-c:4',5'-c']dithiophene-4,8-dione))] (PBDB-T) as the donor in the active layer to obtain suitable highest occupied molecular orbital/lowest unoccupied molecular orbital energy alignments and complimentary absorption. The devices with an inverted configuration (ITO/ZnO/active layer/MoO3/Ag) without using an aqueous poly(3,4-ethylenedioxythiophene) polystyrene sulfonate layer were fabricated for better device stability. When the diiodooctane-treated PBDB-T:DTCCIC-C17 active layer was thermally annealed at 50 °C for 10 min, the device achieved the highest efficiency of 9.48% with a high Voc of 0.98 V, a Jsc of 14.27 mA cm-2, and an FF of 0.68."
18,10.1021/acsami.7b16406,"The geometries of acceptors based on perylene diimides (PDIs) are important for improving the phase separation and charge transport in organic solar cells. To fine-tune the geometry, biphenyl, spiro-bifluorene, and benzene were used as the core moiety to construct quasi-three-dimensional nonfullerene acceptors based on PDI building blocks. The molecular geometries, energy levels, optical properties, photovoltaic properties, and exciton kinetics were systematically studied. The structure-performance relationship was discussed as well. Owing to the finest phase separation, the highest charge mobility and smallest nongeminate recombination, the power conversion efficiency of nonfullerene solar cells using PDI derivatives with biphenyl core (BP-PDI4) as acceptor reached 7.3% when high-performance wide band gap donor material poly[(2,6-(4,8-bis(5-(2-ethylhexyl)thiophen-2-yl)-benzo[1,2-b:4,5-b']dithiophene))-alt-(5,5-(1',3'-di-2-thienyl-5',7'-bis(2-ethylhexyl)benzo[1',2'-c:4',5'-c']dithiophene-4,8-dione))] was blended."
19,10.1021/acsami.7b18152,"We synthesized three semicrystalline polymers (PTTBTBO, PDTBTBO, and P2FDTBTBO) by modulating the intra- and intermolecular noncovalent Coulombic interactions and investigated their photovoltaic characteristics under various light intensities. Low series (Rs) and high shunt (Rsh) resistances are essential prerequisites for good device properties under standard illumination (100 mW cm-2). Considering these factors, among three polymers, PDTBTBO polymer solar cells (PSCs) exhibited the most desirable characteristics, with peak power conversion efficiencies (PCE) of 7.52 and 9.60% by being blended with PC71BM under standard and dim light (2.5 mW cm-2), respectively. P2FDTBTBO PSCs exhibited a low PCE of 3.69% under standard light due to significant charge recombination with high Rs (9.42 Ω cm2). However, the PCE was remarkably improved by 2.3 times (8.33% PCE) under dim light, showing negligible decrease in open-circuit voltage and remarkable increase in fill factor, which is due to an exceptionally high Rsh of over 1000 kΩ cm2. Rs is less significant under dim light because the generated current is too small to cause noticeable Rs-induced voltage losses. Instead, high Rsh becomes more important to avoid leakage currents. This work provides important tips to further optimize PSCs for indoor applications with low-power electronic devices such as Internet of things sensors."
20,10.1021/acsami.7b18717,"Two types of electron acceptors were synthesized by coupling two kinds of electron-rich cores with four equivalent perylene diimides (PDIs) at the α-position. With fully aromatic cores, TPB and TPSe have π-orbitals spread continuously over the whole aromatic conjugated backbone, unlike TPC and TPSi, which contain isolated PDI units due to the use of a tetrahedron carbon or silicon linker. Density functional theory calculations of the projected density of states showed that the highest occupied molecular orbital (HOMO) and lowest unoccupied molecular orbital (LUMO) for TPB are localized in separate regions of space. Further, the LUMO of TPB shows a greater contribution from the orbitals belonging to the connective core of the molecules than that of TPC. Overall, the properties of the HOMO and LUMO point at increased intra-molecular delocalization of negative charge carriers for TPB and TPSe than for TPC and TPSi and hence at a more facile intra-molecular charge transfer for the former. The film absorption and emission spectra showed evidences for the inter-molecular electron delocalization in TPB and TPSe, which is consistent with the network structure revealed by X-ray diffraction studies on single crystals of TPB. These features benefit the formation of charge transfer states and/or facilitate charge transport. Thus, higher electron mobility and higher charge dissociation probabilities under Jsc condition were observed in blend films of TPB:PTB7-Th and TPSe:PTB7-Th than those in TPC:PTB7-Th and TPSi:PTB7-Th blend films. As a result, the Jsc and fill factor values of 15.02 mA/cm2, 0.58 and 14.36 mA/cm2, 0.55 for TPB- and TPSe-based solar cell are observed, whereas those for TPC and TPSi are 11.55 mA/cm2, 0.47 and 10.35 mA/cm2, 0.42, respectively."
21,10.1021/acsami.8b00216,"We used the quinoxaline (Qx) unit to design and synthesize two nonfullerene small-molecule acceptors of Qx1 and Qx1b with an A2-A1-D-A1-A2 skeleton, where indacenodithiophene (IDT), Qx, and rhodanine (R) were adopted as the central donor (D), bridge acceptors (A1), and terminal acceptors (A2), respectively. Qx1 and Qx1b contain different side chains of 4-hexylphenyl and octyl in the central IDT segment to modulate the properties of final small molecules. Both small molecules show good thermal stability, high solubility, and strong and broad absorption spectra with optical band gaps of 1.74 and 1.68 eV, respectively. Qx1 and Qx1b exhibit the complementary absorption spectra with the classic poly(3-hexylthiophene) (P3HT) and the high-lying lowest unoccupied molecular orbital energy levels of -3.60 and -3.66 eV, respectively. Polymer solar cells based on P3HT:Qx1 showed a high open-circuit voltage ( Voc) of 1.00 V and a power conversion efficiency (PCE) of 4.03%, whereas P3HT:Qx1b achieved a Voc of 0.95 V and a PCE of 4.81%. These results demonstrate that the Qx unit is also an effective building block to construct promising n-type nonfullerene small molecules to realize a relatively high Voc and PCE for P3HT-based solar cells."
22,10.1021/acsami.8b01308,"The open-circuit voltage ( Voc) loss has always been a major factor in lowering power conversion efficiencies (PCEs) in bulk heterojunction organic photovoltaic cells (OPVs). A method to improve the Voc is indispensable to achieve high PCEs. In this paper, we investigated a series of perylene diimide-based ladder-type molecules as electron acceptors in nonfullerene OPVs. The D-A ladder-type structures described here lock our π-systems into a planar structure and eliminate bond twisting associated with linear conjugated systems. This enlarges the interface energy gap (Δ EDA), extends electronic delocalization, and hence improves the Voc. More importantly, these devices showed an increase in Voc without compromising either the Jsc or the FF. C5r exhibited a strong intermolecular interaction and a PCE value of 6.1%. Moreover, grazing-incident wide-angle X-ray scattering analysis and atomic force microscopy images suggested that our fused-ring acceptors showed a suitable domain size and uniform blend films, which were not affected by their rigid molecular structures."
23,10.1021/acsami.8b04541,"In this work, a kind of ""donor-acceptor (D-A) combined π-bridge"" based on the regioselective reactivity of monofluoro-substituted benzothiadiazole (FBT) to link a thiophene ring has been designed to construct a new A-π-D-π-A-type small molecular acceptor (IDT-FBTR) with indacenodithiophene (IDT) as a central core (D) and 3-octyl-2-(1,1-dicyanomethylene)rhodanine as an electron-withdrawing terminal group (A). Because of the strong intramolecular push-pull electron effect, the IDT-FBTR shows a strong and broad intramolecular charge-transfer absorption band in the range of 500-750 nm. Especially, as an electron-deficient FBT unit (A') and an electron-rich thiophene ring (D') in ""D-A combined π-bridge"" exert an ""offset effect"" to regulate the highest occupied molecular orbital (HOMO)-lowest unoccupied molecular orbital (LUMO) energy levels of the molecule, a relatively high LUMO energy level can be maintained for IDT-FBTR that is helpful to enhance the open-circuit voltage ( Voc) for highly efficient organic solar cells (OSCs). Therefore, the optimized OSC device based on IDT-FBTR as the acceptor and PTB7-Th as the donor shows a much high Voc of 1.02 V with a relatively low Eloss of 0.56 eV and a best power conversion efficiency of 9.14%."
24,10.1021/acsami.8b05700,"Two novel wide-band gap donor-acceptor-type conjugated copolymers, PTzBI-S and PTzBI-Ph, are designed and synthesized, based on alkylthio-thienyl- or alkylphenyl-substituted benzodithiophene (BDT) derivatives as the electron-donating unit and pyrrolo[3,4- f]benzotriazole-5,7(6 H)-dione as the electron-withdrawing unit. The as-generated copolymers show the comparable optical and electrochemical properties. The alkylthio-thienyl-substituted BDT unit facilities a benign decrease of the highest occupied molecular orbital (HOMO) levels. This consequently enhances open-circuit voltages ( VOC) over 0.9 V in relevant solar cells with the fullerene acceptor ([6, 6]-phenyl-C71-butyric acid methyl ester, PC71BM) or the nonfullerene acceptor (3,9-bis(2-methylene-(3-(1,1-dicyanomethylene)-indanone))-5,5,11,11-tetrakis(4-hexylphenyl)-dithieno[2,3- d:2',3'- d']- s-indaceno[1,2- b:5,6- b']dithiophene, ITIC). The combination studies of Fourier transform photocurrent spectroscopy and electroluminescence further rationalize the VOC difference between solar cells with fullerene and nonfullerene acceptors. An impressively high power conversion efficiency of 10.19% is obtained for the device based on PTzBI-Ph:ITIC, outperforming the 8.84% achieved by the PC71BM-based device. Our results demonstrate that the modification of substituents of BDT units can effectively decrease the HOMO level and consequently improve VOC, ultimately allowing the attainment of high-efficiency polymer solar cells."
25,10.1021/acsami.8b04432,"We present here a series of wide-band-gap ( Eg: >1.8 eV) polymer donors by incorporating thiophene-flanked phenylene as an electron-donating unit and quinoxaline as an electron-accepting co-unit to attain large open-circuit voltages ( Vocs) and short-circuit currents ( Jscs) in nonfullerene organic solar cells (OSCs). Fluorination was utilized to fine-tailor the energetics of polymer frontier molecular orbitals (FMOs) by replacing a variable number of H atoms on the phenylene moiety with F. It was found that fluorination can effectively modulate the polymer backbone planarity through intramolecular noncovalent S···F and/or H···F interactions. Polymers (P2-P4) show an improved molecular packing with a favorable face-on orientation compared to their nonfluorinated analogue (P1), which is critical to charge carrier transport and collection. When mixed with IDIC, a nonfullerene acceptor, P3 with two F atoms, achieves a remarkable Voc of 1.00 V and a large Jsc of 15.99 mA/cm2, simultaneously, yielding a power-conversion efficiency (PCE) of 9.7%. Notably, the 1.00 V Voc is among the largest values in the IDIC-based OSCs, leading to a small energy loss ( Eloss: 0.62 eV) while maintaining a large PCE. The P3:IDIC blend shows an efficient exciton dissociation through hole transfer even under a small energy offset of 0.16 eV. Further fluorination leads to the polymer P4 with increased chain-twisting and mismatched FMO levels with IDIC, showing the lowest PCE of 2.93%. The results demonstrate that quinoxaline-based copolymers are promising donors for efficient OSCs and the fluorination needs to be fine-adjusted to optimize the interchain packing and physicochemical properties of polymers. Additionally, the structure-property correlations from this work provide useful insights for developing wide-band-gap polymers with low-lying highest occupied molecular orbitals to minimize Eloss and maximize Voc in nonfullerene OSCs for efficient power conversion."
26,10.1021/acsami.8b06445,"Ternary blending is an effective strategy for broadening the absorption range of the active layer in bulk heterojunction polymer solar cells and for constructing an efficient cascade energy landscape at the donor/acceptor interface to achieve high efficiencies. In this study, we report efficient ternary blend solar cells containing an acceptor alloy consisting of the indacenodithiophene-based nonfullerene material, IDT2BR, and the fullerene material, phenyl-C71-butyric acid methyl ester (PC71BM). The IDT2BR materials mix fully with PC71BM materials, and the energy state of this phase can be tuned by varying the blending ratio. We performed photoluminescence and external quantum efficiency studies and found that the ternary charge cascade structure efficiently transfers the photogenerated charges from the polymer to IDT2BR and finally to PC71BM materials. Ternary blend devices containing the IDT2BR:PC71BM acceptor blend and various types of donor polymers were found to exhibit power conversion efficiencies (PCEs) improved by more than 10% over the PCEs of the binary blend devices."
27,10.1021/acsami.8b06126,"Two star-shaped helical perylene diimide (PDI) electron acceptors TPDI2 and FTPDI2 were designed and synthesized for nonfullerene organic solar cells (OSCs). The integration of helical PDIs into a three-dimensional structure provides a new strategy to tune the intermolecular interactions, and the as-cast blend films with PTB7-Th show favorable morphology as well as efficient charge transfer and separation, as evidenced by the morphology and femtosecond transient absorption (fs-TA) spectroscopy studies. A trade-off between suppressing the self-aggregation and maintaining the charge-transfer properties was achieved by FTPDI2. Using PTB7-Th as the electron donor, the FTPDI2-based nonfullerene OSCs show a high power conversion efficiency of 8.28%, without the assistance of any additives."
28,10.1021/acsenergylett.6b00291,"Polymer solar cells (PSCs) have achieved power conversion efficiencies exceeding 10%, but their performance has been limited under concentrated sunlight because of poor stability and recombination processes despite their potential for low-cost concentrated solar power. Recently, ternary polymer solar cell blends have been explored as a strategy to improve PSC performance; however, this approach has been demonstrated only for polymer–fullerene solar cells with organic ternary additives and has not addressed stability issues under supersolar irradiation. Here, we present the first polymer solar cells comprising ternary blends of high efficiency polymers, nonfullerene perylenediimide acceptors, and semiconducting single-walled carbon nanotube additives. We find that the addition of carbon nanotubes reduces efficiency-degrading recombination and improves performance and photostability, most notably under concentrated sunlight exceeding 10 suns. The utilization of carbon nanomaterials as ternary additives in o..."
